timestamp,raw_current,current,raw_voltage,voltage,rpm,temperature,status,power_consumption
2025-03-01 00:00:00,401,0.191,1021,219.97,1179,30.36,0,-0.75
2025-03-01 01:00:00,402,0.199,998,212.69,1142,29.5,1,42.73
2025-03-01 02:00:00,430,0.215,1019,218.99,1153,27.99,1,47.01
2025-03-01 03:00:00,391,0.193,1009,217.23,1236,32.72,1,42.45
2025-03-01 04:00:00,426,0.204,1027,220.22,1172,33.96,1,45.12
2025-03-01 05:00:00,434,0.218,990,212.66,1147,33.49,1,48.19
2025-03-01 06:00:00,405,0.211,994,214.31,1117,31.4,1,45.68
2025-03-01 07:00:00,437,0.218,1024,219.92,1110,26.65,1,47.49
2025-03-01 08:00:00,413,0.204,1025,221.17,1183,26.41,1,44.64
2025-03-01 09:00:00,424,0.212,990,212.48,1118,28.9,1,46.19
2025-03-01 10:00:00,411,0.2,1003,216.35,1199,29.89,1,41.74
2025-03-01 11:00:00,425,0.207,998,214.59,1215,29.81,1,44.9
2025-03-01 12:00:00,400,0.202,1019,218.65,1189,30.39,1,43.11
2025-03-01 13:00:00,444,0.227,1013,218.5,1173,27.22,1,50.7
2025-03-01 14:00:00,447,0.223,993,212.89,1123,33.21,1,46.99
2025-03-01 15:00:00,435,0.208,1003,215.25,1112,33.01,1,45.22
2025-03-01 16:00:00,418,0.211,1014,218.25,1224,27.38,1,46.04
2025-03-01 17:00:00,424,0.222,993,213.54,1215,26.28,1,46.09
2025-03-01 18:00:00,437,0.217,1014,218.15,1170,29.82,0,0.64
2025-03-01 19:00:00,443,0.221,999,214.6,1225,32.52,1,46.62
2025-03-01 20:00:00,404,0.198,1024,219.56,1244,29.94,0,0.8
2025-03-01 21:00:00,449,0.227,996,213.81,1218,30.52,1,47.51
2025-03-01 22:00:00,420,0.207,1002,216.09,1190,29.12,1,44.9
2025-03-01 23:00:00,431,0.221,993,212.83,1184,30.29,1,46.99
2025-03-02 00:00:00,430,0.212,1025,221.2,1207,31.89,1,46.23
2025-03-02 01:00:00,432,0.218,1003,215.8,1226,30.82,0,1.38
2025-03-02 02:00:00,405,0.202,1007,216.21,1220,31.15,1,43.77
2025-03-02 03:00:00,399,0.207,997,213.35,1228,26.67,0,-0.42
2025-03-02 04:00:00,438,0.221,1021,218.58,1105,34.28,0,0.3
2025-03-02 05:00:00,421,0.217,1016,218.26,1177,26.7,1,46.0
2025-03-02 06:00:00,440,0.221,1026,220.35,1137,30.31,1,51.05
2025-03-02 07:00:00,391,0.195,1012,217.64,1215,29.7,0,-1.09
2025-03-02 08:00:00,413,0.206,996,215.0,1201,29.79,1,44.91
2025-03-02 09:00:00,412,0.202,1001,215.48,1107,31.74,1,43.62
2025-03-02 10:00:00,391,0.198,1014,217.95,1177,28.58,1,44.37
2025-03-02 11:00:00,427,0.21,992,213.89,1211,29.13,1,45.1
2025-03-02 12:00:00,420,0.211,1015,218.3,1247,27.71,1,45.33
2025-03-02 13:00:00,440,0.224,993,214.29,1154,32.24,1,46.2
2025-03-02 14:00:00,429,0.222,1025,220.04,1147,30.53,1,47.16
2025-03-02 15:00:00,415,0.208,1004,215.29,1187,31.27,1,44.61
2025-03-02 16:00:00,418,0.213,1021,218.51,1109,31.62,1,47.98
2025-03-02 17:00:00,392,0.2,1018,218.82,1151,33.98,1,42.03
2025-03-02 18:00:00,447,0.222,999,214.17,1133,33.63,1,49.31
2025-03-02 19:00:00,403,0.212,1010,216.53,1160,30.65,1,47.0
2025-03-02 20:00:00,414,0.204,1005,216.59,1243,30.32,1,42.86
2025-03-02 21:00:00,437,0.219,1008,215.86,1178,28.94,0,-1.09
2025-03-02 22:00:00,390,0.202,1018,218.92,1117,31.49,1,43.3
